R%_5;HLC_CCI_14;K%_10;K%_14
-58.499999999999375;-44.96145677323974;10.999999999999943;17.99999999999926
-30.50000000000068;-106.44671670105924;-29.50000000000017;-5.499999999999261
-6.499999999999773;-50.22796855120457;-67.00000000000017;-32.500000000000284
-18.500000000000227;68.84252129682426;-69.50000000000074;-41.50000000000063
-9.999999999999432;102.00264754335224;-57.50000000000029;-46.50000000000034
3.0000000000001137;102.41581843948634;-21.50000000000034;-51.00000000000051
-46.0000000000008;117.47412139696466;18.000000000000682;-48.99999999999949
14.499999999999602;94.71440341666587;-1.5000000000000568;-71.0000000000008
45.49999999999983;97.28412297685207;31.000000000000227;-26.500000000000057
12.999999999999543;102.14655442964764;79.00000000000063;57.50000000000029
-8.499999999999375;110.51660294984652;81.49999999999977;100.0
-0.4999999999995452;100.63180712301408;98.99999999999947;98.0000000000004
-2.499999999999148;112.28485811431352;73.49999999999994;104.50000000000016
-11.999999999999034;90.69555869520435;29.49999999999875;108.49999999999936
-17.00000000000017;71.67530166436622;9.000000000000341;90.50000000000011
7.999999999999829;43.81278515002951;-4.5000000000001705;94.49999999999932
3.499999999999659;52.75052901716285;2.5000000000005684;76.00000000000051
22.49999999999943;62.52517054749504;7.000000000000739;36.49999999999949
-14.499999999999602;63.52500290735384;34.00000000000034;43.00000000000068
-26.500000000000057;50.16725170116937;39.50000000000102;35.5000000000004
-28.999999999999204;33.48113114096813;31.499999999999773;34.499999999999886
1.5000000000000568;-9.228167604130851;-1.999999999999602;5.000000000001137
-0.9999999999990904;-29.49886192959374;-25.500000000000966;8.499999999999375
-18.000000000000682;-79.26184589743701;-10.999999999999943;28.50000000000108
-9.499999999999886;-163.24564804985175;-22.000000000001307;9.999999999999432
-11.499999999999488;-146.53931837669202;3.999999999999204;1.999999999999602
-7.500000000000284;-120.0142136958944;-7.499999999998863;-32.99999999999983
-10.499999999998977;-78.05748396417312;-13.500000000000512;-24.00000000000091
-28.000000000000117;-37.744491541946864;-9.000000000000341;-31.500000000001197
-40.500000000000114;-13.153548776373883;-4.999999999999716;-1.5000000000000568
-15.500000000000114;-96.34145255412454;-28.49999999999966;-36.49999999999949
-1.0000000000005116;-117.63175513435928;-43.00000000000068;-56.00000000000023
5.500000000000682;-51.462920704109536;-34.99999999999943;-43.99999999999977
12.000000000000457;-19.52454642812776;-31.500000000001197;-36.50000000000091
1.5000000000000568;9.50939194501135;11.50000000000091;-16.499999999999204
-32.99999999999983;8.783601334203013;29.50000000000017;-13.500000000000512
-25.0;-19.0810814295062;21.999999999999886;-12.999999999999543
17.99999999999926;-73.41449612419387;-8.499999999999375;-40.500000000000114
-1.5000000000000568;-38.07810272689145;0.0;11.50000000000091
-8.499999999999375;-62.990607199097546;-1.0000000000005116;28.49999999999966
-15.000000000000568;-69.27378577365936;2.5000000000005684;25.0
-13.500000000000512;-52.85184452380928;23.99999999999949;15.500000000000114
-6.999999999999318;-65.04920974433035;-7.500000000000284;-7.500000000000284
-18.000000000000682;-104.896372299408;-11.999999999999034;-12.999999999999543
-23.0000000000004;-119.9332902455998;-12.999999999999543;-9.999999999999432
-14.999999999999147;-134.5975251448796;-19.50000000000074;3.999999999999204
