R%_5;Fechamento_TSI_13:25;K%_14_SMA_3;K%_14
-78.50000000000108;54.76077416177769;-274.2333333333335;-248.19999999999996
-7.200000000000273;51.02655441267782;-262.1666666666665;-295.09999999999934
-87.10000000000093;45.80825364936126;-268.76666666666625;-262.99999999999955
-159.5000000000013;43.49488968485556;-244.3333333333328;-174.89999999999952
-76.49999999999864;41.39249486785958;-214.76666666666657;-206.40000000000072
23.399999999999466;38.51237683075786;-194.03333333333327;-200.7999999999996
48.90000000000043;36.541728600225184;-180.76666666666677;-135.0999999999999
-50.900000000000034;35.43306404054059;-134.9333333333329;-68.8999999999993
-97.80000000000086;34.33047858749934;-78.73333333333268;-32.19999999999885
-17.300000000000182;33.33635338429792;-46.79999999999941;-39.30000000000007
2.5000000000005684;33.178548358501565;-43.533333333333246;-59.10000000000082
-45.90000000000032;30.9191747900935;-51.13333333333353;-54.99999999999972
-38.700000000000045;30.16042251615716;-27.866666666666617;30.50000000000068
-20.399999999999352;28.494608046839232;11.900000000000452;60.20000000000039
-44.89999999999981;26.66024754276136;39.93333333333359;29.09999999999968
-42.79999999999973;25.00521745505097;18.39999999999975;-34.10000000000082
18.300000000000693;23.63632138101931;-41.23333333333363;-118.69999999999976
-50.499999999999545;22.468047871028265;-40.90000000000013;30.100000000000197
-4.099999999999682;21.24538499058748;-29.53333333333319;0.0
-0.6000000000000227;18.44656641169492;-1.333333333333068;-34.0999999999994
-19.900000000001228;10.186056445350074;-13.39999999999956;-6.099999999999284
-10.699999999999932;3.843293404417377;-6.266666666666272;21.399999999999864
-42.29999999999876;-2.981725336999205;10.533333333333417;16.29999999999967
-16.29999999999967;-7.282022298617178;17.3333333333332;14.300000000000068
29.50000000000017;-11.327376665853944;27.866666666666617;53.000000000000114
109.0999999999994;-15.160709526913182;36.36666666666694;41.80000000000064
-1.0000000000005116;-16.117161762895122;111.80000000000044;240.6000000000006
21.50000000000034;-14.89585139050567;162.40000000000046;204.80000000000015
-42.79999999999973;-11.445459587138837;233.06666666666683;253.79999999999967
13.700000000000044;-10.449700692602889;226.60000000000005;221.20000000000036
-33.70000000000033;-8.522135403292165;239.03333333333356;242.10000000000065
-135.59999999999943;-6.911461953101885;242.26666666666668;263.4999999999991
-133.59999999999985;-4.306774081462327;236.5;203.90000000000012
-103.00000000000011;-3.1426057354766828;192.6666666666662;110.59999999999944
-22.40000000000037;-1.3665270254909063;69.49999999999979;-106.00000000000024
