Loss;Optimizer;Epochs;Batch Size;MSE;MAE;RMSE;R2_Score
mae;sgd;30;70;0.12446971097678296;0.2883092343077368;0.3528026516011224;-1.5922894191770434
mae;sgd;30;90;0.11479745732327847;0.27408462719041476;0.3388177346646401;-1.390848597881547
mae;sgd;50;10;0.11095764407288607;0.27855979270675557;0.3331030532326086;-1.3108780798937234
mae;sgd;50;30;0.09733697850802397;0.2596194570891712;0.3119887474060947;-1.0272049922898874
mae;sgd;50;50;0.08969406325085914;0.24808287847609753;0.29948967135922927;-0.8680285292183954
mae;sgd;50;70;0.09615818092125658;0.25784040515925616;0.3100938259966757;-1.002654565623447
mae;sgd;50;90;0.09065402537544731;0.24954687961915734;0.3010880691350079;-0.888021342239748
mae;sgd;70;10;0.10526799949573243;0.2713251975442277;0.3244503035839733;-1.192381737928371
mae;sgd;70;30;0.0873636685681278;0.24517358572304657;0.2955734571441215;-0.8194941714927817
mae;sgd;70;50;0.09298270327197995;0.2543824931553433;0.30493065321803897;-0.9365199450281725
mae;sgd;70;70;0.07670649561470473;0.23082468448042062;0.2769593753869053;-0.5975407623565503
mae;sgd;70;90;0.09120732093587304;0.2515274880856884;0.3020054981881506;-0.8995446455053655
mae;sgd;90;10;0.08552070344605789;0.24287648038799264;0.29243923034719177;-0.7811113476847849
mae;sgd;90;30;0.09276440969738292;0.25290644431600773;0.30457250318665163;-0.9319736170961685
mae;sgd;90;50;0.10124749050355258;0.2660445897108844;0.31819410821627825;-1.1086479296119203
mae;sgd;90;70;0.09338247113211814;0.25366285272196043;0.3055854563491498;-0.9448457777615398
mae;sgd;90;90;0.09523073104229772;0.25641824475761993;0.3085947683326756;-0.983338874366716
mae;rmsprop;10;10;0.2257952412177464;0.3740252545415139;0.4751791674913226;-3.70256265653635
mae;rmsprop;10;30;0.18086623293418613;0.35723502256432355;0.42528370875709093;-2.766841091236695
mae;rmsprop;10;50;0.11756782873080429;0.27963238670712437;0.34288165411815824;-1.4485462050388365
