high|T-3|,low|T-3|,close|T-3|,high|T-2|,low|T-2|,close|T-2|,high|T-1|,low|T-1|,close|T-1|,high,low,close
103576.83320000001,93321.70120000001,102551.32,101578.4977,91521.2207,100572.77,100981.21399999999,90983.074,99981.4,102260.48,92135.68000000001,101248.0
101578.4977,91521.2207,100572.77,100981.21399999999,90983.074,99981.4,102260.48,92135.68000000001,101248.0,102835.3013,92653.5883,101817.13
100981.21399999999,90983.074,99981.4,102260.48,92135.68000000001,101248.0,102835.3013,92653.5883,101817.13,104872.5016,94489.0856,103834.16
102260.48,92135.68000000001,101248.0,102835.3013,92653.5883,101817.13,104872.5016,94489.0856,103834.16,105344.5958,94914.4378,104301.58
102835.3013,92653.5883,101817.13,104872.5016,94489.0856,103834.16,105344.5958,94914.4378,104301.58,105535.4656,95086.4096,104490.56
104872.5016,94489.0856,103834.16,105344.5958,94914.4378,104301.58,105535.4656,95086.4096,104490.56,106477.028,95934.748,105422.8
105344.5958,94914.4378,104301.58,105535.4656,95086.4096,104490.56,106477.028,95934.748,105422.8,106065.9277,95564.35070000001,105015.77
105535.4656,95086.4096,104490.56,106477.028,95934.748,105422.8,106065.9277,95564.35070000001,105015.77,105776.1789,95303.2899,104728.89
106477.028,95934.748,105422.8,106065.9277,95564.35070000001,105015.77,105776.1789,95303.2899,104728.89,107082.5028,96480.2748,106022.28
106065.9277,95564.35070000001,105015.77,105776.1789,95303.2899,104728.89,107082.5028,96480.2748,106022.28,108454.9211,97716.8101,107381.11
105776.1789,95303.2899,104728.89,107082.5028,96480.2748,106022.28,108454.9211,97716.8101,107381.11,108619.0259,97864.6669,107543.59
107082.5028,96480.2748,106022.28,108454.9211,97716.8101,107381.11,108619.0259,97864.6669,107543.59,108056.0115,97357.3965,106986.15
108454.9211,97716.8101,107381.11,108619.0259,97864.6669,107543.59,108056.0115,97357.3965,106986.15,108437.40770000001,97701.0307,107363.77
108619.0259,97864.6669,107543.59,108056.0115,97357.3965,106986.15,108437.40770000001,97701.0307,107363.77,109268.93059999999,98450.2246,108187.06
108056.0115,97357.3965,106986.15,108437.40770000001,97701.0307,107363.77,109268.93059999999,98450.2246,108187.06,108631.8226,97876.1966,107556.26
108437.40770000001,97701.0307,107363.77,109268.93059999999,98450.2246,108187.06,108631.8226,97876.1966,107556.26,109491.6154,98650.8614,108407.54
109268.93059999999,98450.2246,108187.06,108631.8226,97876.1966,107556.26,109491.6154,98650.8614,108407.54,108292.0283,97570.0453,107219.83
108631.8226,97876.1966,107556.26,109491.6154,98650.8614,108407.54,108292.0283,97570.0453,107219.83,109277.58630000001,98458.0233,108195.63
109491.6154,98650.8614,108407.54,108292.0283,97570.0453,107219.83,109277.58630000001,98458.0233,108195.63,109737.6211,98872.5101,108651.11
108292.0283,97570.0453,107219.83,109277.58630000001,98458.0233,108195.63,109737.6211,98872.5101,108651.11,109806.2102,98934.30820000001,108719.02
