kernel;regularization;gamma;degree;coef0;accuracy;f1_score;True Positive;False Positive;False Negative;True Negative
sigmoid;0.51;0.01;default;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.51;0.01;default;0;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.51;0.21000000000000002;default;-1;0.5918367346938775;0.7435897435897436;0;0;120;174
sigmoid;0.51;0.21000000000000002;default;0;0.5918367346938775;0.7321428571428572;10;10;110;164
sigmoid;0.51;0.41000000000000003;default;-1;0.5986394557823129;0.7342342342342343;13;11;107;163
sigmoid;0.51;0.41000000000000003;default;0;0.4965986394557823;0.5647058823529413;50;78;70;96
sigmoid;0.51;0.6100000000000001;default;-1;0.5680272108843537;0.6801007556675064;32;39;88;135
sigmoid;0.51;0.6100000000000001;default;0;0.5238095238095238;0.5930232558139535;52;72;68;102
sigmoid;0.51;0.81;default;-1;0.5238095238095238;0.6153846153846153;42;62;78;112
sigmoid;0.51;0.81;default;0;0.54421768707483;0.6104651162790699;55;69;65;105
