Loss;Optimizer;Epochs;Batch Size;MSE;MAE;RMSE;R2_Score
mae;rmsprop;30;50;0.11295590328417646;0.252951480580025;0.33608912997027507;-1.3524951622308663
mae;rmsprop;30;70;0.08446806767034046;0.224679168389768;0.29063390660819405;-0.7591884512449554
mae;rmsprop;30;90;0.0823854137906096;0.21867799162053736;0.2870285940296012;-0.7158137091180024
mae;rmsprop;50;10;0.15400940230990315;0.33973481638901903;0.3924403168762139;-2.207502780625972
mae;rmsprop;50;30;0.07693336872501874;0.21681299819427283;0.2773686513018707;-0.602265773435531
mae;rmsprop;50;50;0.17043770226373278;0.35672776488219804;0.4128410133014073;-2.549649539152011
mae;rmsprop;50;70;0.09002267925580168;0.24650294985089985;0.30003779637872574;-0.8748725058445133
mae;rmsprop;50;90;0.07601293041230955;0.21612094619647176;0.2757044258119727;-0.583096109745332
mae;rmsprop;70;10;0.13849926872137333;0.32043796980462114;0.37215489882758945;-1.8844783686943982
mae;rmsprop;70;30;0.06674317611217316;0.20672656948063653;0.25834700716705267;-0.39003800908744
mae;rmsprop;70;50;0.09032854570273992;0.24264550591812656;0.3005470773485244;-0.8812426849656583
mae;rmsprop;70;70;0.12831188879384844;0.30366569570943613;0.35820648904486424;-1.6723091832113104
mae;rmsprop;70;90;0.07387191019017891;0.213675641299916;0.2717938744530106;-0.5385057911487972
mae;rmsprop;90;10;0.07886521507918091;0.219906289626141;0.2808295124789788;-0.6424996972075918
mae;rmsprop;90;30;0.1202590041253768;0.29073265374112295;0.34678380026376204;-1.5045944230812256
mae;rmsprop;90;50;0.12362155533321141;0.29415389651343943;0.35159857129006;-1.5746251626812926
mae;rmsprop;90;70;0.1993495496905316;0.38551024430463104;0.4464857777024164;-3.1517870036419176
mae;rmsprop;90;90;0.10185511219228303;0.2610123896436627;0.31914747718301495;-1.1213026651471565
mae;adagrad;10;10;44.08840642374936;5.109799501644511;6.639910121661991;-917.2146289548377
mae;adagrad;10;30;42.3294172785152;4.990035767165981;6.506106153338969;-880.5807449853609
mae;adagrad;10;50;41.16837446487694;4.914307871367655;6.41625860333551;-856.4000910946531
mae;adagrad;10;70;40.082275098390184;4.8488807771806;6.331056396715336;-833.7802595402626
mae;adagrad;10;90;39.39063313952192;4.8017145602394935;6.276195753760547;-819.3756616845841
mae;adagrad;30;10;14.967043590163831;2.792386848229129;3.8687263524529403;-310.71365652468137
mae;adagrad;30;30;4.976958143972043;1.5242011652836183;2.2309097121963593;-102.65345781763942
mae;adagrad;30;50;1.1225448698256024;0.6704003881597195;1.059502180189169;-22.378869973781562
mae;adagrad;30;70;0.46272716551355303;0.4932534749816064;0.6802405203408226;-8.637065320657104
mae;adagrad;30;90;0.2795428679357283;0.38336853481474376;0.5287181365678014;-4.821946665332599
mae;adagrad;50;10;0.12014837780261028;0.2829432770346298;0.34662426026262255;-1.5022904453203747
mae;adagrad;50;30;0.11532517688835546;0.27847315171948905;0.33959560787553694;-1.4018392383683476
mae;adagrad;50;50;0.12059391851847864;0.28725208827427456;0.34726635097354114;-1.5115695741501471
