low,close
102548.0547,112690.17
104834.0293,115202.23
100656.5378,110611.58
101310.8642,111330.62
102626.6059,112776.49
104635.2216,114983.76
103885.964,114160.4
104514.1734,114850.74
103757.0898,114018.78
106059.9904,116549.44
104500.2413,114835.43
105761.6378,116221.58
104630.7626,114978.86
103068.238,113261.8
101978.4129,112064.19
103512.409,113749.9
104450.3642,114780.62
105031.0352,115418.72
106333.1997,116849.67
106136.6852,116633.72
104880.5121,115253.31
106941.7804,117518.44
106923.9717,117498.87
107037.4578,117623.58
107665.0393,118313.23
107079.609,117669.9
108118.6834,118811.74
108560.27,119297.0
109468.1588,120294.68
109837.6097,120700.67
110213.6763,121113.93
110049.7398,120933.78
109256.4109,120061.99
108628.0468,119371.48
109682.3546,120530.06
109741.0951,120594.61
108643.4167,119388.37
110157.7932,121052.52
109259.8325,120065.75
108193.3944,118893.84
108480.6268,119209.48
107117.92,117712.0
108803.6404,119564.44
109127.7551,119920.61
111054.6801,122038.11
110937.2173,121909.03
111897.2491,122964.01
108936.1273,119710.03
109842.3781,120705.91
110911.5462,121880.82
111873.4617,122937.87
111911.7636,122979.96
111599.033,122636.3
111657.7189,122700.79
111559.1477,122592.47
112868.7742,124031.62
111918.8161,122987.71
112830.1447,123989.17
113173.5787,124366.57
114260.8467,125561.37
114856.3143,126215.73
116723.0155,128267.05
117937.3104,129601.44
118414.4598,130125.78
119006.4057,130776.27
118106.2701,129787.11
118215.188,129906.8
118369.3147,130076.17
117791.3373,129441.03
118489.24360000002,130207.96
118382.8828,130091.08
117626.1359,129259.49
116532.0702,128057.22
116848.8685,128405.35
117631.1136,129264.96
117178.3795,128767.45
116869.4618,128427.98
117857.0393,129513.23
115802.6051,127255.61
115960.5447,127429.17
115867.9704,127327.44
115389.5106,126801.66
114356.2329,125666.19
116135.7015,127621.65
115497.2455,126920.05
113836.3408,125094.88
115587.0261,127018.71
114139.2707,125427.77
116110.3853,127593.83
116632.64340000002,128167.74
116849.9241,128406.51
115995.7708,127467.88
114623.8366,125960.26
113199.0587,124394.57
114115.2376,125401.36
114595.6175,125929.25
114793.4606,126146.66
113798.0298,125052.78
114663.5126,126003.86
113396.9473,124612.03
114919.8869,126285.59
114364.5503,125675.33
110838.7189,121800.79
111489.3234,122515.74
112454.6696,123576.56
110839.1011,121801.21
110685.9572,121632.92
111757.4276,122810.36
111947.6358,123019.38
111204.2477,122202.47
111071.2694,122056.34
109837.8918,120700.98
110286.3125,121193.75
108453.8273,119180.03
107292.4671,117903.81
106144.7842,116642.62
106619.8679,117164.69
107428.0207,118052.77
106899.2197,117471.67
109391.7825,120210.75
109944.1161,120817.71
108038.8127,118723.97
109816.616,120677.6
108963.3636,119739.96
108090.7373,118781.03
108649.996,119395.6
106176.1428,116677.08
106409.2484,116933.24
107260.4533,117868.63
103205.6844,113412.84
104978.3826,115360.86
104000.1963,114285.93
105927.3852,116403.72
105724.3005,116180.55
104706.9114,115062.54
103552.7948,113794.28
101409.8267,111439.37
99047.8034,108843.74
100327.2543,110249.73
102176.8748,112282.28
103798.5676,114064.36
103087.2297,113282.67
103360.5391,113583.01
100212.7035,110123.85
101107.2153,111106.83
100990.981,110979.1
102738.6724,112899.64
100457.7119,110393.09
100516.4524,110457.64
100609.2087,110559.57
100632.7413,110585.43
102678.212,112833.2
102084.2368,112180.48
103244.8872,113455.92
102998.7868,113185.48
104329.6709,114647.99
104129.6438,114428.18
100712.2116,110672.76
100815.6513,110786.43
98038.8591,107735.01
96729.5238,106296.18
98930.2405,108714.55
96841.7723,106419.53
96790.421,106363.1
96191.5136,105704.96
94185.6461,103500.71
96051.2826,105550.86
96111.3608,105616.88
94105.0019,103412.09
95390.0493,104824.23
95350.8283,104781.13
96036.9228,105535.08
96430.4341,105967.51
97911.1497,107594.67
96764.4314,106334.54
95007.3306,104403.66
93683.0895,102948.45
93207.66,102426.0
93761.8682,103035.02
92931.3567,102122.37
94324.9762,103653.82
95107.9129,104514.19
96288.2375,105811.25
93024.0766,102224.26
93560.7673,102814.03
92743.0595,101915.45
91704.8587,100774.57
95064.2784,104466.24
95613.4179,105069.69
97241.5717,106858.87
97877.4797,107557.67
98366.9323,108095.53
96725.0284,106291.24
98060.0894,107758.34
97718.8212,107383.32
97151.5272,106759.92
97762.3738,107431.18
98576.9603,108326.33
97552.5096,107200.56
95567.9998,105019.78
96004.8908,105499.88
95771.7852,105243.72
95451.1012,104891.32
96054.504,105554.4
95426.3947,104864.17
94737.5884,104107.24
95388.4204,104822.44
94568.6469,103921.59
94197.4124,103513.64
91915.1324,101005.64
92420.5555,101561.05
93474.7177,102719.47
92770.132,101945.2
94438.8718,103778.98
96173.9506,105685.66
96031.845,105529.5
97304.2889,106927.79
96800.2217,106373.87
97067.5706,106667.66
98292.2577,108013.47
99282.8109,109101.99
99136.9288,108941.68
98222.7701,107937.11
100285.4307,110203.77
101273.1538,111289.18
102476.6015,112611.65
101838.191,111910.1
102050.5941,112143.51
103037.7621,113228.31
101823.8676,111894.36
101643.3054,111695.94
102142.8954,112244.94
101916.724,111996.4
102133.3586,112234.46
102339.8649,112461.39
103164.6707,113367.77
103350.8385,113572.35
103648.2629,113899.19
104493.6438,114828.18
104814.6645,115180.95
103310.9168,113528.48
102720.6635,112879.85
101670.023,111725.3
102731.538,112891.8
101698.4605,111756.55
101548.6017,111591.87
102959.1654,113141.94
104807.9851,115173.61
104800.6505,115165.55
104171.1398,114473.78
101550.0486,111593.46
101195.1395,111203.45
103649.3094,113900.34
103433.4483,113663.13
101658.89370000002,111713.07
100034.1342,109927.62
99152.963,108959.3
101112.3113,111112.43
102899.4603,113076.33
104932.9281,115310.91
105700.6223,116154.53
106717.9204,117272.44
106886.1794,117457.34
108338.1481,119052.91
108363.8283,119081.13
108051.3798,118737.78
109212.8947,120014.17
109436.3816,120259.76
109199.2993,119999.23
110628.8365,121570.15
110364.3541,121279.51
108185.4865,118885.15
107587.2525,118227.75
108164.5292,118862.12
107673.2566,118322.26
106427.0935,116952.85
105693.6426,116146.86
106271.5836,116781.96
105725.2651,116181.61
105275.3975,115687.25
104701.5606,115056.66
104052.8398,114343.78
101080.5341,111077.51
100723.3045,110684.95
98473.7026,108212.86
99507.9267,109349.37
100026.2627,109918.97
98167.3056,107876.16
97041.1624,106638.64
96940.5619,106528.09
98592.8034,108343.74
95826.8129,105304.19
95672.6043,105134.73
93957.5182,103250.02
93830.0454,103109.94
