Loss;Optimizer;Epochs;Batch Size;MSE;MAE;RMSE;R2_Score
mae;adadelta;70;50;148.6696251133561;9.725164590432328;12.193015423321505;-3095.293010644633
mae;adadelta;70;70;152.63109495295257;9.615042298642956;12.35439577449875;-3177.7972300967886
mae;adadelta;70;90;155.9568167936732;9.533192805303198;12.48826716537059;-3247.0609366738386
mae;adadelta;90;10;164.27467738029765;9.180304866742317;12.816968338117157;-3420.294262433856
mae;adadelta;90;30;162.03371038256068;9.07805636533669;12.729246261368372;-3373.622385465796
mae;adadelta;90;50;160.18004395752953;9.0005068939387;12.65622550200215;-3335.0166891676154
mae;adadelta;90;70;158.43965673896014;8.932684289305186;12.587281546821782;-3298.7702213597972
mae;adadelta;90;90;157.07006626789084;8.878947667621432;12.532759722738279;-3270.246214523942
mae;adamax;10;10;3.3119395254487674;1.3358256415931546;1.8198734916056025;-67.97666686457165
mae;adamax;10;30;1.4754871648707186;0.8720769550038034;1.2146963261946249;-29.72948218172809
mae;adamax;10;50;0.96885450231343;0.6877753667766545;0.9843040700481889;-19.17801162515448
mae;adamax;10;70;0.707135992641423;0.5944421250479562;0.8409137843093208;-13.727286962091044
mae;adamax;10;90;0.48646666798049504;0.4984553110031854;0.6974716252153166;-9.131480070869387
mae;adamax;30;10;0.1205439865648963;0.2794624860594873;0.3471944506539474;-1.510529657901169
mae;adamax;30;30;0.1317633343341593;0.2965112094489896;0.3629921959686727;-1.7441912956127963
mae;adamax;30;50;0.08474566694464426;0.2320486382724477;0.2911110903841423;-0.7649699193298554
mae;adamax;30;70;0.13584703542631402;0.31035921849361087;0.36857432822473407;-1.8292411848525094
mae;adamax;30;90;0.09008995398251425;0.24368721254828837;0.3001498858612381;-0.8762736142817904
mae;adamax;50;10;0.10361165037584548;0.2682510583579135;0.3218876362581289;-1.1578855037501858
mae;adamax;50;30;0.08715047443695266;0.2367964187933475;0.2952125919349523;-0.8150540479788848
mae;adamax;50;50;0.0893693935994208;0.24516939863866694;0.2989471418151055;-0.8612667419888218
mae;adamax;50;70;0.08644648890876801;0.235093634988175;0.29401783773908685;-0.8003923746959185
mae;adamax;50;90;0.08764411378807423;0.23895881964235893;0.29604748569794376;-0.8253349111443868
mae;adamax;70;10;0.07124365272861555;0.21011075688057212;0.2669150665073359;-0.4837679440451377
mae;adamax;70;30;0.09231457037656148;0.24416569871967347;0.30383312916231087;-0.9226049626456676
mae;adamax;70;50;0.08706742363833563;0.2329241434733074;0.2950718957107498;-0.8133243765205067
mae;adamax;70;70;0.09759376585012346;0.25397680425319547;0.3124000093631936;-1.0325530171601889
mae;adamax;70;90;0.09522035031070215;0.24680992541669997;0.3085779485165817;-0.9831226783101223
mae;adamax;90;10;0.08037441616401139;0.22474470696481724;0.2835038203693407;-0.673931328026967
mae;adamax;90;30;0.09659786909593725;0.2509809266953241;0.31080197730377657;-1.011811805517533
mae;adamax;90;50;0.10085577380938543;0.2572019766463715;0.3175779806746454;-1.1004897758439411
mae;adamax;90;70;0.09401391791840923;0.2428655946173636;0.30661689111725277;-0.9579967107076368
mae;adamax;90;90;0.10006820358708048;0.2524183048845149;0.3163355869754152;-1.0840873118378918
mae;nadam;10;10;0.2375213006824078;0.38688448224748884;0.48736157078949893;-3.94677741079534
mae;nadam;10;30;0.13381138134251974;0.2906247411455427;0.365802380176127;-1.786845291899012
mae;nadam;10;50;0.1417686305552511;0.30491644852826383;0.3765217530970171;-1.9525682840875769
mae;nadam;10;70;0.13969416369977578;0.30620065779913047;0.37375682428522394;-1.9093640504014777
mae;nadam;10;90;0.10612048364279915;0.2572673893623612;0.3257613906570255;-1.2101361427318773
mae;nadam;30;10;0.09977938610864301;0.2637530097182917;0.3158787522272478;-1.0780722059334003
mae;nadam;30;30;0.10357944255876966;0.26747565989591643;0.32183760277315276;-1.1572147222181552
mae;nadam;30;50;0.09055707753354629;0.2480797864952867;0.3009270302474444;-0.8860022416666058
mae;nadam;30;70;0.07422017859053405;0.2200921873494882;0.2724338058878414;-0.5457590617010422
mae;nadam;30;90;0.07821566584218435;0.2268864277430944;0.27967063814813375;-0.6289717505201058
mae;nadam;50;10;0.07150870811680518;0.21699749447050556;0.2674111219018483;-0.48928816477119064
mae;nadam;50;30;0.09443929227682638;0.2558314419441483;0.30730976599650456;-0.9668558414942396
mae;nadam;50;50;0.08589296121556828;0.2384058114136158;0.2930750095377773;-0.7888642368779495
mae;nadam;50;70;0.09324491665826831;0.25235439118884867;0.305360306291221;-0.9419809763225144
mae;nadam;50;90;0.08554367903020714;0.23692959467569996;0.2924785103733386;-0.78158985256137
mae;nadam;70;10;0.10333129803002704;0.25351952909612335;0.32145185958402395;-1.1520466983572644
mae;nadam;70;30;0.10689979462299194;0.25659219235790026;0.32695534041057034;-1.2263665942397073
mae;nadam;70;50;0.13533840247141649;0.2788134746162259;0.36788368062665744;-1.8186480548702955
mae;nadam;70;70;0.1194244923691811;0.2761731162038791;0.34557848944802844;-1.4872143233060404
mae;nadam;70;90;0.11171601124215504;0.2666958749213187;0.3342394519534686;-1.3266723415925705
mae;nadam;90;10;0.07880853792753223;0.2282872934406307;0.28072858409419627;-0.6413193009539571
mae;nadam;90;30;0.1442172518734971;0.3068307457489222;0.37975946581158065;-2.003564908768777
mae;nadam;90;50;0.12344244949755025;0.27998675612365315;0.3513437768020806;-1.5708949848006362
mae;nadam;90;70;0.11834541950213073;0.27478531805025486;0.3440136908643764;-1.4647408303267127
mae;nadam;90;90;0.12939460690190602;0.28192493711199085;0.3597146186936333;-1.6948585944170014
mse;adam;10;10;1.9973058222203393;1.0632432563288685;1.4132607056804272;-40.59722641894986
mse;adam;10;30;1.0145134604368924;0.7455763791531933;1.007230589506143;-20.128935613852235
mse;adam;10;50;0.6510323887212713;0.602150472783718;0.8068657811069145;-12.55883579691531
mse;adam;10;70;0.45917019239177675;0.5109659475209762;0.6776209798934628;-8.562985420290037
mse;adam;10;90;0.38108713947991457;0.4713102011129159;0.617322557080101;-6.936775555319615
mse;adam;30;10;0.1159925577686802;0.2685624275726526;0.3405768015715107;-1.415738558781726
mse;adam;30;30;0.11597308930518413;0.2733440550979303;0.3405482187667176;-1.4153330955446664
mse;adam;30;50;0.09494861497686276;0.24632429966310257;0.3081373313587024;-0.9774633365698671
mse;adam;30;70;0.10058423893509479;0.25731360104619244;0.3171501835646557;-1.0948346090082723
mse;adam;30;90;0.09301892645407192;0.24740474298697754;0.3049900432048101;-0.9372743532366357
mse;adam;50;10;0.10834994400577354;0.27579678710626104;0.32916552675785105;-1.2565683748312284
mse;adam;50;30;0.09339372096200058;0.24883150723515732;0.30560386280608526;-0.9450800742401204
mse;adam;50;50;0.06514514342546586;0.20501305417949653;0.25523546662927915;-0.3567563119360495
mse;adam;50;70;0.07457609298800691;0.2246550824690839;0.2730862372731495;-0.5531715729012467
mse;adam;50;90;0.07606419853793203;0.22591136011136637;0.27579738674964277;-0.5841638540065599
mse;adam;70;10;0.05893542443842775;0.19392178983104474;0.24276619294792212;-0.2274285525973596
mse;adam;70;30;0.08094111718852588;0.22963495319392416;0.2845015240530811;-0.6857338224503668
mse;adam;70;50;0.07442931262190774;0.2197252461699402;0.27281736129122675;-0.550114626861959
mse;adam;70;70;0.08712699362877667;0.2383802159627279;0.295172819935672;-0.8145650209689348
mse;adam;70;90;0.08574761145213884;0.23528251933402766;0.29282693088604206;-0.7858370855263384
mse;adam;90;10;0.10035232095258399;0.23862013434066257;0.31678434455096416;-1.0900045300480041
mse;adam;90;30;0.1149222878178073;0.26647064909643065;0.33900189943097264;-1.3934484012201933
mse;adam;90;50;0.12034695026686922;0.27085432325090686;0.34691057964102107;-1.5064260482232719
mse;adam;90;70;0.10447212492434846;0.25345091501871747;0.3232214796766274;-1.175806321996253
mse;adam;90;90;0.12005880709213299;0.2768023310551027;0.3464950318433628;-1.5004249858184902
mse;sgd;10;10;0.09257472353014456;0.25064873740786603;0.3042609464425965;-0.9280230861562522
mse;sgd;10;30;0.08697639939176394;0.2385293854174971;0.2949176145837409;-0.8114286447041101
mse;sgd;10;50;0.09225885328372463;0.24849003331190875;0.30374142503735746;-0.9214445612187274
mse;sgd;10;70;0.08768112334403365;0.24048141427591546;0.29610998521501036;-0.8261056969007701
mse;sgd;10;90;0.08176174058309475;0.23194852841954658;0.2859400996416815;-0.7028246739207848
mse;sgd;30;10;0.09813975642455125;0.2517168903999588;0.31327265508587127;-1.0439241819034217
mse;sgd;30;30;0.0796269282598703;0.22649147552697838;0.2821824379012101;-0.6583636451773685
mse;sgd;30;50;0.09328004476991679;0.25120121157899195;0.30541781999404816;-0.9427125778617758
mse;sgd;30;70;0.08072245746171508;0.227164336742998;0.28411697848195394;-0.6811798687875557
mse;sgd;30;90;0.08765533198769447;0.2426022061198748;0.2960664317137194;-0.8255685488699793
mse;sgd;50;10;0.09216684355914594;0.25158647835660153;0.30358992664307216;-0.919528305178483
mse;sgd;50;30;0.08108310979430614;0.23026161388475072;0.28475096100681757;-0.6886910553922367
mse;sgd;50;50;0.0817883996781408;0.22812201727004283;0.28598671241535123;-0.7033798940580405
mse;sgd;50;70;0.08899688648938411;0.2369636879486292;0.29832345950223915;-0.8535086598631516
mse;sgd;50;90;0.08607472365377491;0.23725910082966298;0.2933849410821471;-0.7926497429393782
mse;sgd;70;10;0.1142365776468202;0.2785892107697572;0.33798902000926034;-1.3791673427448221
mse;sgd;70;30;0.08634008510424364;0.23756426895556818;0.2938368341516149;-0.7981763379230835
mse;sgd;70;50;0.10016512632293796;0.26047983234431477;0.3164887459656946;-1.0861058895357858
