up;down;class
5365.72822661704;-5364.72822661704;1
5354.863290216165;-5353.863290216165;1
5347.645174966249;-5346.645174966249;1
5362.066463953087;-5361.066463953087;1
5413.173554904978;-5412.173554904978;1
5464.237594628882;-5463.237594628882;1
5453.509864601604;-5452.509864601604;1
5358.492367604248;-5357.492367604248;1
5355.406094496579;-5354.406094496579;1
5346.023069009601;-5345.023069009601;1
5329.87644404577;-5328.87644404577;1
5345.942643941758;-5344.942643941758;1
5372.848978089272;-5371.848978089272;1
5352.396236989712;-5351.396236989712;1
5304.416784178437;-5303.416784178437;1
5275.960499360334;-5274.960499360334;1
5269.304042377229;-5268.304042377229;1
5262.9317892162;-5261.9317892162;1
5265.093585408851;-5264.093585408851;1
5272.509125667519;-5271.509125667519;1
5270.770420382767;-5269.770420382767;1
5259.73966381862;-5258.73966381862;1
5267.506302121868;-5266.506302121868;1
5271.422105243321;-5270.422105243321;1
5299.021059637254;-5298.021059637254;1
5294.038693973567;-5293.038693973567;1
5282.9640558195415;-5281.9640558195415;1
5325.550556542991;-5324.550556542991;1
5323.245449903708;-5322.245449903708;1
5317.487987962557;-5316.487987962557;1
5321.065310364279;-5320.065310364279;1
5339.764184694605;-5338.764184694605;1
5331.8805541568145;-5330.8805541568145;1
5308.194534057585;-5307.194534057585;1
5294.686436135849;-5293.686436135849;1
5309.899391080445;-5308.899391080445;1
5321.980424147107;-5320.980424147107;1
5333.53507615757;-5332.53507615757;1
5346.692406153147;-5345.692406153147;1
5314.889812960715;-5313.889812960715;1
5294.667687758866;-5293.667687758866;1
5287.02508604723;-5286.02508604723;1
5285.101526865629;-5284.101526865629;1
5265.827362849699;-5264.827362849699;1
5252.865425980861;-5251.865425980861;1
5285.659271856132;-5284.659271856132;1
5297.82817368331;-5296.82817368331;1
5300.931692837921;-5299.931692837921;1
5260.038918275955;-5259.038918275955;1
5242.819217820284;-5241.819217820284;1
5299.699525835099;-5298.699525835099;1
5298.494079090404;-5297.494079090404;1
5296.259723069253;-5295.259723069253;1
5277.727241504823;-5276.727241504823;1
5291.557362567666;-5290.557362567666;1
5351.422930856537;-5350.422930856537;1
5367.191578015335;-5366.191578015335;1
