R%_5;Abertura|T-7|_TSI_13:25;R%_21;R%_14
-1.0000000000001563;-17.42162694687723;-7.000000000000028;1.0000000000001563
0.0;-16.235430281455926;0.0;2.0000000000003126
-1.0000000000001563;-16.709893144795572;-3.0000000000001137;-1.0000000000001563
-0.999999999999801;-17.820128687477766;-3.9999999999999134;-1.9999999999999567
-0.999999999999801;-18.726768814687787;-3.0000000000001137;-3.9999999999999134
0.0;-20.209014342195424;-4.00000000000027;-5.000000000000071
-1.9999999999999567;-21.43513029888112;-1.9999999999999567;-5.000000000000071
-6.000000000000227;-22.463624291164905;-1.9999999999999567;-5.000000000000071
-6.000000000000227;-23.33649218113422;-1.9999999999999567;-4.00000000000027
1.9999999999999567;-16.790253558045002;3.0000000000001137;1.9999999999999567
-1.0000000000001563;-14.234111232564398;0.0;-1.0000000000001563
0.0;-11.262120531852132;-0.999999999999801;1.0000000000001563
-1.0000000000001563;-10.62614777723872;-3.0000000000001137;0.0
-2.0000000000003126;-10.139927744577124;-3.0000000000001137;0.0
0.999999999999801;-9.757079406276231;-3.0000000000001137;1.9999999999999567
0.0;-10.26705974544718;-3.0000000000001137;-0.999999999999801
-5.000000000000071;-12.28885428912873;-5.000000000000071;-7.000000000000028
-3.0000000000001137;-11.86382671849198;-3.0000000000001137;-5.000000000000071
1.0000000000001563;-8.609636010723126;1.0000000000001563;0.0
-1.0000000000001563;-6.917121001806281;1.0000000000001563;-1.0000000000001563
3.9999999999999134;-6.4034190618019045;0.0;-2.0000000000003126
0.0;-9.10362974882336;-1.9999999999999567;-5.000000000000071
-0.999999999999801;-11.869149411469124;-4.999999999999716;-7.000000000000028
0.0;-13.091703691929634;-8.000000000000185;-3.0000000000001137
-0.999999999999801;-14.727964364057078;-8.999999999999986;-3.9999999999999134
-1.9999999999999567;-16.683484518276625;-8.000000000000185;-8.000000000000185
0.0;-16.384636955922055;-6.000000000000227;-6.000000000000227
0.0;-17.451263014043338;-8.000000000000185;-7.000000000000028
