R%_5;Fechamento_TSI_13:25;K%_14_SMA_3;K%_14
0.5389617311587263;0.6025848623025366;0.2706313109642728;0.3660549043800122
0.6309561880396527;0.6006285187631599;0.3306444692353908;0.4324491054904393
0.54546423622215;0.6126146433230701;0.4627992791555832;0.5892196175200497
0.4906726361795095;0.6315949353171888;0.5494150290340121;0.5995527452189999
0.5852254557083475;0.6568553456764726;0.5899768300008583;0.5417951881554592
0.5254237288135595;0.6892831476639975;0.5782774106810831;0.5576804441702641
0.5171090502078668;0.6644259642606407;0.5610000286049364;0.5529765576804424
0.4624240486088895;0.6479287071287494;0.5725850281758623;0.5730259099321404
0.4611448672849368;0.6339425058369528;0.5340827826882919;0.4538864898210988
0.4302313186227482;0.6308587743153793;0.484910895620585;0.420419494139421
0.5183882315318195;0.6304302452487979;0.4027861208844652;0.3516347933374451
0.7389404114699911;0.6418275661699326;0.345347406962442;0.2990438001233806
0.6624027289201575;0.6641210708249013;0.3279270002002346;0.3734577421344851
0.515829868883914;0.6783733325976222;0.3549872708029405;0.4245835903763097
0.4863020999893413;0.7065920996602343;0.4077633799593809;0.4413170882171497
0.4971751412429364;0.6778676343177257;0.4201779227094595;0.4069247378161629
0.3936680524464324;0.6491726629295069;0.4301896507337172;0.451573103022826
0.4315104999467009;0.5965327460618421;0.4281300952544414;0.4357649599012951
0.487581281313291;0.5370121689914595;0.4308761692268091;0.4143275755706357
0.3975055964182906;0.5044886056581881;0.440029749134701;0.4762492288710673
0.7286003624347062;0.4919317291249954;0.3766984181469726;0.2650370141887721
0.8451124613580637;0.4859167142499376;0.3163133956920971;0.2515422578655162
0.7312653235262778;0.4701995638085421;0.3014674332789844;0.4362276372609497
0.6250932736382052;0.4584855991921548;0.4165737006207277;0.5753392967304132
0.3923888711224798;0.4519295347629783;0.5692954603964642;0.6632479950647736
0.4515510073552914;0.4349199865615606;0.6527932721187678;0.6613201727328815
0.5055964182922923;0.4332529672314946;0.686604307903544;0.6664867365823555
0.5512205521799373;0.4421622981433432;0.6784805057352898;0.6413479333744596
0.5447180471165104;0.4468814397369963;0.7223318744815351;0.779534238124614
