R%_5;HLC_CCI_14;K%_10;K%_14
-11.599999999999966;94.3018607891894;4.699999999999704;4.200000000000159
-18.999999999999773;41.43128491155963;9.499999999999886;-4.699999999999704
3.6000000000001364;-17.150578328724382;-2.600000000001046;-14.200000000001012
3.199999999999648;68.32970830184836;-2.599999999999625;-7.399999999999807
-4.200000000000159;113.86226627913236;5.300000000001148;10.500000000000398
-0.4999999999995452;146.57139329720138;5.19999999999925;14.699999999999136
-9.999999999999432;22.05810523769467;12.599999999999056;10.499999999998977
-13.700000000000044;74.90023238627754;8.99999999999892;6.399999999999295
-3.699999999999193;105.04276898986744;-5.8000000000006935;0.0
-3.700000000000614;77.67168200413128;6.9000000000002615;11.599999999999966
1.6000000000005343;142.1396383167752;4.800000000000182;17.39999999999924
-42.1999999999997;154.53528430114167;23.30000000000041;31.699999999999307
-9.000000000000341;131.53592233439812;15.30000000000058;10.099999999999907
-6.300000000000239;119.60348334645712;-1.099999999999568;6.300000000000239
-22.100000000000364;129.88336967296215;25.800000000000978;30.60000000000116
11.099999999999;91.59015850147668;-16.29999999999967;6.400000000000716
-6.300000000000239;126.17659027555416;16.899999999999693;31.60000000000025
6.299999999998818;99.47055709896692;23.30000000000041;22.20000000000084
5.8000000000006935;72.30604481364901;5.799999999999272;31.60000000000025
-2.10000000000008;60.90999051274349;39.4999999999996;23.19999999999993
-2.10000000000008;11.847293842486884;17.39999999999924;34.7999999999999
4.699999999999704;-23.613806030920465;25.30000000000001;49.099999999999966
-12.100000000000932;28.38956451224765;26.300000000000523;32.69999999999982
-24.800000000000463;-5.032326213937556;18.500000000000227;57.99999999999983
-24.799999999999045;-139.05308659531775;7.999999999999829;25.399999999999068
-42.69999999999925;-173.8725400163455;-1.6000000000005343;23.69999999999948
-33.200000000000784;-168.94946915834436;-22.700000000000387;4.200000000000159
0.5000000000009663;-160.09673774611198;-46.90000000000083;-28.400000000000603
-24.2999999999995;-120.43416547203611;-21.09999999999985;-13.100000000000025
-57.50000000000029;-109.5832972188324;-23.69999999999948;-25.30000000000001
-58.499999999999375;-75.19377142721008;-22.20000000000084;-44.90000000000123
-47.99999999999898;-84.73183708790827;-42.1999999999997;-89.70000000000056
-48.0000000000004;-79.53499037533639;-70.19999999999982;-91.29999999999968
-18.999999999999773;-87.79421790116793;-96.0000000000008;-119.70000000000029
-17.40000000000066;-93.22050287813494;-89.09999999999911;-111.29999999999995
18.999999999999773;-94.1979838619042;-61.7999999999995;-103.39999999999918
-8.00000000000125;-78.88541413241958;-23.69999999999948;-93.8999999999993
-9.499999999999886;-76.09279532716178;12.600000000000476;-83.40000000000032
-16.900000000001114;-43.06295157031638;13.2000000000005;-75.89999999999861
-33.799999999999386;113.733367563995;31.699999999999307;-30.1000000000002
-21.10000000000128;87.07485886157959;-12.699999999999534;-35.899999999999466
-18.499999999998806;77.59657178715025;-26.300000000000523;-13.700000000000044
-10.500000000000398;85.9342943206001;-29.000000000000625;-16.400000000000148
17.40000000000066;79.27733900013811;-42.1999999999997;-10.500000000000398
73.29999999999899;93.7023499283558;-1.5999999999991132;-14.799999999999612
34.30000000000035;96.77712825775504;37.400000000000944;11.10000000000042
-3.100000000000591;96.29555984318512;87.5;59.0999999999994
9.999999999999432;80.5391308804658;95.49999999999984;53.80000000000109
2.10000000000008;75.03742630850415;86.49999999999949;84.90000000000038
-5.299999999999727;51.23245132640152;17.900000000000205;102.30000000000103
-16.29999999999967;51.1069119194914;28.49999999999966;115.99999999999966
-19.0000000000012;63.75052375383589;27.50000000000057;123.49999999999994
-6.9000000000002615;67.32511200121311;0.0;87.09999999999951
-17.39999999999924;57.5772477094216;-7.900000000000773;9.999999999999432
-35.899999999999466;102.03948724503778;-8.400000000000318;20.09999999999934
-6.299999999998818;49.48774492088152;-31.200000000001182;-3.700000000000614
8.400000000000318;56.83969869166907;-21.09999999999985;-21.09999999999985
-1.099999999999568;69.1732930129899;-11.599999999999966;-19.50000000000074
-9.000000000000341;115.9194946692166;-6.89999999999884;-15.29999999999916
9.000000000000341;125.69748341196352;12.099999999999511;-19.600000000001216
-13.19999999999908;126.87725468613604;35.29999999999944;14.19999999999959
-1.0000000000005116;112.8631379563124;22.700000000000387;10.500000000000398
-8.500000000000796;114.79209801707282;14.300000000000068;7.400000000001228
-3.700000000000614;73.2797174089479;16.900000000001114;29.000000000000625
-6.9000000000002615;64.97653132588171;3.2000000000010687;38.50000000000051
-17.39999999999924;134.54108000441025;19.49999999999932;42.79999999999973
-0.4999999999995452;122.26194966304324;6.89999999999884;20.59999999999889
1.0000000000005116;56.25993506437725;8.499999999999375;25.90000000000004
-13.700000000000044;69.05566181913981;12.199999999999989;14.800000000001036
-9.999999999999432;57.64137125970545;-7.399999999999807;12.099999999999511
8.899999999999864;50.92479723161589;-0.4999999999995452;6.399999999999295
-2.10000000000008;123.11497038936407;13.700000000000044;22.700000000000387
-32.69999999999982;150.14858045167082;19.49999999999932;31.699999999999307
-18.500000000000227;122.35417985689963;13.2000000000005;5.8000000000006935
-10.999999999999943;66.30145650607345;17.40000000000066;16.30000000000109
